"name","country","operator","users","purpose","perigee","apogee","launch_mass","date_of_launch","expected_lifetime",
"CYGNSS FM01 (Cyclone Global Navigation Satellite System)","USA","University of Michigan/NASA Earth Science Technology Office","Government","Earth Observation",515,537,29,2016-12-15,-1.000000,
"CYGNSS FM02 (Cyclone Global Navigation Satellite System)","USA","University of Michigan/NASA Earth Science Technology Office","Government","Earth Observation",514,536,29,2016-12-15,-1.000000,
"CYGNSS FM03 (Cyclone Global Navigation Satellite System)","USA","University of Michigan/NASA Earth Science Technology Office","Government","Earth Observation",514,533,29,2016-12-15,-1.000000,
"CYGNSS FM04 (Cyclone Global Navigation Satellite System)","USA","University of Michigan/NASA Earth Science Technology Office","Government","Earth Observation",515,534,29,2016-12-15,-1.000000,
"CYGNSS FM05 (Cyclone Global Navigation Satellite System)","USA","University of Michigan/NASA Earth Science Technology Office","Government","Earth Observation",515,537,29,2016-12-15,-1.000000,
"CYGNSS FM06 (Cyclone Global Navigation Satellite System)","USA","University of Michigan/NASA Earth Science Technology Office","Government","Earth Observation",515,534,29,2016-12-15,-1.000000,
"CYGNSS FM07 (Cyclone Global Navigation Satellite System)","USA","University of Michigan/NASA Earth Science Technology Office","Government","Earth Observation",514,534,29,2016-12-15,-1.000000,
"CYGNSS FM08 (Cyclone Global Navigation Satellite System)","USA","University of Michigan/NASA Earth Science Technology Office","Government","Earth Observation",515,537,29,2016-12-15,-1.000000,
"D2/AtlaCom-1","Mexico","Mexican Space Agency/NanoAvionics","Government","Earth Observation",524,536,9,2021-06-30,-1.000000,
"Daichi-2 (Advanced Land Observing Satellite-2, ALOS 2 2)","Japan","Japan Aerospace Exploration Agency (JAXA)","Government","Earth Observation",630,635,2120,2014-05-24,7.000000,
"DAMPE (Dark Matter Particle Explorer)","China","Chinese Academy of Sciences","Government","Space Science",488,505,1850,2015-12-17,3.000000,
"DaVinci","USA","North Idaho STEM Charter Academy","Civil","Educational",489,511,4,2018-12-16,-1.000000,
"Dayun (Starera 17, Xingshidai 17)","China","ADA Space (?)","Commercial","Earth Observation",526,547,20,2022-02-27,-1.000000,
"DCBB (Kaituo-1B, CAS-3G)","China","China Amateur Satellite - CAMSAT","Civil","Technology Development",514,536,3,2015-09-19,-1.000000,
"Deimos 1","Spain","Deimos Imaging/DMC International Imaging (DMCII)","Government","Earth Observation",661,662,90,2009-07-29,5.000000,
"Deimos 2","Spain","Deimos Imaging/DMC International Imaging (DMCII)","Government","Earth Observation",597,619,310,2014-06-19,10.000000,
"Dekart (Descartes)","Russia","Moscow State University","Civil","Space Science",548,567,5,2020-09-28,-1.000000,
"Delfi-C3 (DO-64)","Netherlands","Technical University, Delft","Civil","Technology Development",598,616,7,2008-04-28,-1.000000,
"DeMi (Deformable Mirror)","USA","Massachusetts Institute of Technology","Civil","Technology Development",415,418,9,2020-07-13,-1.000000,
"DhabiSat-1","United Arab Emirates","Khalifa University","Civil","Technology Development",488,502,4,2021-02-20,-1.000000,
"DHFR (DARPA High Frequency Receiver)","USA","DARPA (Defense Advanced Research Projects Agency)","Military","Technology Development",309,605,8,2017-08-26,-1.000000,
"Diamond Blue (3 Diamonds 1)","United Kingdom","Sky and Space Global, UK","Commercial","Technology Development",496,511,6,2017-06-23,-1.000000,
"Diamond Green (3 Diamonds 2)","United Kingdom","Sky and Space Global, UK","Commercial","Technology Development",496,511,6,2017-06-23,-1.000000,
"Diamond Red (3 Diamonds 3)","United Kingdom","Sky and Space Global, UK","Commercial","Technology Development",496,511,6,2017-06-23,-1.000000,
"Dido-2","Switzerland","SpacePharma","Commercial","Technology Development",496,508,10,2017-02-15,-1.000000,
"Dido-3","Switzerland","SpacePharma","Commercial","Space Science",534,536,6,2020-09-02,-1.000000,
"DirecTV-10","USA","DirecTV, Inc.","Commercial","Communications",35785,35788,5900,2007-07-07,15.000000,
"DirecTV-11","USA","DirecTV, Inc.","Commercial","Communications",35786,35786,5900,2008-03-19,-1.000000,
"DirecTV-12","USA","DirecTV, Inc.","Commercial","Communications",35785,35786,5900,2009-12-29,15.000000,
"DirecTV-14","USA","DirecTV, Inc.","Commercial","Communications",35930,35933,5900,2014-12-06,15.000000,
"DirecTV-15","USA","DirecTV, Inc.","Commercial","Communications",35685,35809,5500,2015-05-27,15.000000,
"DirecTV-5 (Tempo 1)","USA","DirecTV, Inc.","Commercial","Communications",35773,35799,4300,2002-05-07,15.000000,
"DirecTV-8","USA","DirecTV, Inc.","Commercial","Communications",35777,35796,3800,2005-05-22,12.000000,
"DirecTV-9S","USA","DirecTV, Inc.","Commercial","Communications",35774,35798,5500,2006-10-13,15.000000,
"Diwata-2B","Japan","Philippines’ Department of Science and Technology, University of the Philippines Diliman, and Japan’s Hokkaido University and Tohoku University","Civil","Earth Observation",595,616,56,2018-10-29,1.000000,
"DLR Tubsat","Germany","Deutsches Zentrum für Luft- und Raumfahrt","Government","Earth Science",712,732,45,1999-05-26,1.000000,
"DMC 3-1 (Disaster Monitoring Constellation)","United Kingdom","Surrey Satellite Technology Ltd.","Commercial","Earth Observation",636,663,447,2015-07-10,10.000000,
"DMC 3-2 (Disaster Monitoring Constellation)","United Kingdom","Surrey Satellite Technology Ltd.","Commercial","Earth Observation",636,663,447,2015-07-10,10.000000,
"DMC 3-3 (Disaster Monitoring Constellation)","United Kingdom","Surrey Satellite Technology Ltd.","Commercial","Earth Observation",636,661,447,2015-07-10,10.000000,
"DMSat-1 ((Dubai Municipality Satellite)","United Arab Emirates","Mohammend Bin Rashid Space Centre (MBRSC)","Government","Earth Observation",536,564,15,2021-03-22,-1.000000,
"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)","USA","DoD/NOAA","Military","Earth Observation",842,855,1134,1997-04-04,5.000000,
"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)","USA","DoD/NOAA","Military","Earth Observation",837,851,1152,1999-12-12,5.000000,
"DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)","USA","DoD/NOAA","Military","Earth Observation",843,852,1154,2003-10-18,5.000000,
"DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 173)","USA","DoD/NOAA","Military","Earth Observation",842,855,1154,2006-11-04,5.000000,
"DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210)","USA","DoD/NOAA","Military","Earth Observation",842,859,1155,2009-10-18,5.000000,
"Dodona","USA","University of Southern California, Space Engineering Research Center/Lockheed Martin","Civil/Commercial","Technology Development",520,531,5,2022-01-13,-1.000000,
"DoT-1 (Demonstration of Technology 1)","United Kingdom","Surrey Satellite Technology Ltd.","Commercial","Technology Development",514,546,18,2019-07-05,-1.000000,
"Dove 2k-10 (0 Flock 2K-10 0F32)","USA","Planet Labs, Inc.","Commercial","Earth Observation",461,475,3,2017-07-14,3.000000,
"Dove 2k-12 (0 Flock 2K-12 0F36)","USA","Planet Labs, Inc.","Commercial","Earth Observation",461,475,3,2017-07-14,3.000000,
"Dove 2k-15 (0 Flock 2K-15 0F3C)","USA","Planet Labs, Inc.","Commercial","Earth Observation",461,475,3,2017-07-14,3.000000,
"Dove 2k-18 (0 Flock 2K-18 0F44)","USA","Planet Labs, Inc.","Commercial","Earth Observation",461,475,3,2017-07-14,3.000000,
"Dove 2k-19 (0 Flock 2K-19 0F46)","USA","Planet Labs, Inc.","Commercial","Earth Observation",460,475,3,2017-07-14,3.000000,
"Dove 2k-29 (0 Flock 2K-29 1048)","USA","Planet Labs, Inc.","Commercial","Earth Observation",459,474,3,2017-07-14,3.000000,
"Dove 2k-30 (0 Flock 2K-30 1049)","USA","Planet Labs, Inc.","Commercial","Earth Observation",459,474,3,2017-07-14,3.000000,
"Dove 2k-32 (0 Flock 2K-32 104B)","USA","Planet Labs, Inc.","Commercial","Earth Observation",458,475,3,2017-07-14,3.000000,
"Dove 2k-35 (0 Flock 2K-35 104E)","USA","Planet Labs, Inc.","Commercial","Earth Observation",458,475,3,2017-07-14,3.000000,
"Dove 2k-39 (0 Flock 2K-39 1052)","USA","Planet Labs, Inc.","Commercial","Earth Observation",458,474,3,2017-07-14,3.000000,
"Dove 2k-40 (0 Flock 2K-40 1053)","USA","Planet Labs, Inc.","Commercial","Earth Observation",458,474,3,2017-07-14,3.000000,
"Dove 2k-7 (0 Flock 2K-7 0F2B)","USA","Planet Labs, Inc.","Commercial","Earth Observation",461,475,3,2017-07-14,3.000000,
"Dove 2p-3 (0 Flock 2P-3 (0E0F)","USA","Planet Labs, Inc.","Commercial","Earth Observation",500,514,3,2016-06-22,3.000000,
"Dove 2p-8 (0 Flock 2P-8 0E20)","USA","Planet Labs, Inc.","Commercial","Earth Observation",500,514,3,2016-06-22,3.000000,
"Dove 2p-9 (0 Flock 2P-9 0E26)","USA","Planet Labs, Inc.","Commercial","Earth Observation",500,514,3,2016-06-22,3.000000,
"Dove 3k-10 (0 Flock 3K-10 106d)","USA","Planet Labs, Inc.","Commercial","Earth Observation",480,509,4,2018-12-27,3.000000,
"Dove 3k-4 (0 Flock 3K-4 1063)","USA","Planet Labs, Inc.","Commercial","Earth Observation",479,510,4,2018-12-27,3.000000,
"Dove 3k-5 (0 Flock 3K-5 1067)","USA","Planet Labs, Inc.","Commercial","Earth Observation",480,509,4,2018-12-27,3.000000,
"Dove 3k-7 (0 Flock 3K-7 106a)","USA","Planet Labs, Inc.","Commercial","Earth Observation",480,510,4,2018-12-27,3.000000,
"Dove 3k-9 (0 Flock 3K-9 1065)","USA","Planet Labs, Inc.","Commercial","Earth Observation",480,509,4,2018-12-27,3.000000,
"Dove 3m-4 (0 Flock 3M-4 0F4C)","USA","Planet Labs, Inc.","Commercial","Earth Observation",499,522,4,2017-10-31,3.000000,
"Dove 3p-11 (0 Flock 3P-11 101F)","USA","Planet Labs, Inc.","Commercial","Earth Observation",496,506,4,2017-02-14,3.000000,
"Dove 3p-12 (0 Flock 3P-12 1010)","USA","Planet Labs, Inc.","Commercial","Earth Observation",496,506,4,2017-02-14,3.000000,
"Dove 3p-2 (0 Flock 3P-2 1001)","USA","Planet Labs, Inc.","Commercial","Earth Observation",496,506,4,2017-02-14,3.000000,
"Dove 3p'-2 (0 Flock 3p'2 1102)","USA","Planet Labs, Inc.","Commercial","Earth Observation",493,504,4,2018-01-11,3.000000,
"Dove 3p-23 (0 Flock 3P-23 1025)","USA","Planet Labs, Inc.","Commercial","Earth Observation",495,506,4,2017-02-14,3.000000,
"Dove 3p-24 (0 Flock 3P-24 1026)","USA","Planet Labs, Inc.","Commercial","Earth Observation",496,507,4,2017-02-14,3.000000,
"Dove 3p-3 (0 Flock 3P-3 1002)","USA","Planet Labs, Inc.","Commercial","Earth Observation",496,506,4,2017-02-14,3.000000,
"Dove 3p'-3 (0 Flock 3p'3 1105)","USA","Planet Labs, Inc.","Commercial","Earth Observation",495,501,4,2018-01-11,3.000000,
"Dove 3p-32 (0 Flock 3P-32 1035)","USA","Planet Labs, Inc.","Commercial","Earth Observation",495,506,4,2017-02-14,3.000000,
"Dove 3p-33 (0 Flock 3P-33 103C)","USA","Planet Labs, Inc.","Commercial","Earth Observation",495,505,4,2017-02-14,3.000000,
"Dove 3p-34 (0 Flock 3P-34 103B)","USA","Planet Labs, Inc.","Commercial","Earth Observation",496,505,4,2017-02-14,3.000000,
"Dove 3p-4 (0 Flock 3P-4 1003)","USA","Planet Labs, Inc.","Commercial","Earth Observation",496,507,4,2017-02-14,3.000000,
"Dove 3p'-4 (0 Flock 3p'4 1107)","USA","Planet Labs, Inc.","Commercial","Earth Observation",492,504,4,2018-01-11,3.000000,
"Dove 3p-46 (0 Flock 3P-46 1011)","USA","Planet Labs, Inc.","Commercial","Earth Observation",494,504,4,2017-02-14,3.000000,
"Dove 3p-49 (0 Flock 3P-49 1038)","USA","Planet Labs, Inc.","Commercial","Earth Observation",495,505,4,2017-02-14,3.000000,
"Dove 3p-50 (0 Flock 3P-50 1034)","USA","Planet Labs, Inc.","Commercial","Earth Observation",494,505,4,2017-02-14,3.000000,
"Dove 3p-54 (0 Flock 3P-54 1005)","USA","Planet Labs, Inc.","Commercial","Earth Observation",494,502,4,2017-02-14,3.000000,
"Dove 3p-55 (0 Flock 3P-55 1008)","USA","Planet Labs, Inc.","Commercial","Earth Observation",494,502,4,2017-02-14,3.000000,
"Dove 3p-57 (0 Flock 3P-57 1014)","USA","Planet Labs, Inc.","Commercial","Earth Observation",496,506,4,2017-02-14,3.000000,
"Dove 3p-58 (0 Flock 3P-58 1009)","USA","Planet Labs, Inc.","Commercial","Earth Observation",495,506,4,2017-02-14,3.000000,
"Dove 3p-61 (0 Flock 3P-61 1012)","USA","Planet Labs, Inc.","Commercial","Earth Observation",494,504,4,2017-02-14,3.000000,
"Dove 3p-64 (0 Flock 3P-64 100A)","USA","Planet Labs, Inc.","Commercial","Earth Observation",494,504,4,2017-02-14,3.000000,
"Dove 3p-65 (0 Flock 3P-65 1040)","USA","Planet Labs, Inc.","Commercial","Earth Observation",494,505,4,2017-02-14,3.000000,
"Dove 3p-66 (0 Flock 3P-66 1013)","USA","Planet Labs, Inc.","Commercial","Earth Observation",495,503,4,2017-02-14,3.000000,
"Dove 3p-74 (0 Flock 3P-74 0F22)","USA","Planet Labs, Inc.","Commercial","Earth Observation",494,506,4,2017-02-14,3.000000,
"Dove 3p-76 (0 Flock 3P-76 0F17)","USA","Planet Labs, Inc.","Commercial","Earth Observation",495,506,4,2017-02-14,3.000000,
"Dove 3p-80 (0 Flock 3P-80 0F4E)","USA","Planet Labs, Inc.","Commercial","Earth Observation",496,506,4,2017-02-14,3.000000,
"Dove 3r-1 (0 Flock 3R-1 105A)","USA","Planet Labs, Inc.","Commercial","Earth Observation",476,500,4,2018-10-29,3.000000,
"Dove 3r-11 (0 Flock 3R-11 1064)","USA","Planet Labs, Inc.","Commercial","Earth Observation",476,500,4,2018-11-29,3.000000,
"Dove 3r-12 (0 Flock 3R-12 1066)","USA","Planet Labs, Inc.","Commercial","Earth Observation",476,500,4,2018-11-29,3.000000,
"Dove 3r-4 (0 Flock 3R-4 105E)","USA","Planet Labs, Inc.","Commercial","Earth Observation",476,500,4,2018-10-29,3.000000,
"Dove 3r-6 (0 Flock 3R-6 1057)","USA","Planet Labs, Inc.","Commercial","Earth Observation",476,500,4,2018-11-29,3.000000,
"Dove 3r-7 (0 Flock 3R-7 1058)","USA","Planet Labs, Inc.","Commercial","Earth Observation",476,500,4,2018-10-29,3.000000,
"Dove 3r-9 (0 Flock 3R-9 1061)","USA","Planet Labs, Inc.","Commercial","Earth Observation",476,500,4,2018-10-29,3.000000,
"Dove 3s-1 (0 Flock 3S-1 105C)","USA","Planet Labs, Inc.","Commercial","Earth Observation",574,592,4,2018-12-03,3.000000,
"Dove 4a-11 (0 Flock 4a-11 2223)","USA","Planet Labs, Inc.","Commercial","Earth Observation",492,505,4,2019-04-01,3.000000,
"Dove 4a-17 (0 Flock 4a-17 2212)","USA","Planet Labs, Inc.","Commercial","Earth Observation",492,508,4,2019-04-01,3.000000,
"Dove 4a-19 (0 Flock 4a-19 2235)","USA","Planet Labs, Inc.","Commercial","Earth Observation",492,508,4,2019-04-01,3.000000,
"Dove 4a-2 (0 Flock 4a-2 2201)","USA","Planet Labs, Inc.","Commercial","Earth Observation",494,510,4,2019-04-01,3.000000,
"Dove 4a-5 (0 Flock 4a-5 2227)","USA","Planet Labs, Inc.","Commercial","Earth Observation",493,506,4,2019-04-01,3.000000,
"Dove 4a-6 (0 Flock 4a-6 220b)","USA","Planet Labs, Inc.","Commercial","Earth Observation",493,506,4,2019-04-01,3.000000,
"Dove 4a-9 (0 Flock 4a-9 2224)","USA","Planet Labs, Inc.","Commercial","Earth Observation",493,506,4,2019-04-01,3.000000,
"Dove 4e’-1 (0 Flock 4e'-1 225A)","USA","Planet Labs, Inc.","Commercial","Earth Observation",511,527,4,2020-10-28,3.000000,
"Dove 4e’-2 (0 Flock 4e'-2 2279)","USA","Planet Labs, Inc.","Commercial","Earth Observation",505,524,4,2020-10-28,3.000000,
"Dove 4e’-3 (0 Flock 4e'-3 2251)","USA","Planet Labs, Inc.","Commercial","Earth Observation",507,523,4,2020-10-28,3.000000,
"Dove 4e’-4 (0 Flock 43'-4 227E)","USA","Planet Labs, Inc.","Commercial","Earth Observation",504,522,4,2020-10-28,3.000000,
"Dove 4e’-5 (0 Flock 4e'-5 2276)","USA","Planet Labs, Inc.","Commercial","Earth Observation",506,525,4,2020-10-28,3.000000,
"Dove 4e’-6 (0 Flock 4e'-6 2280)","USA","Planet Labs, Inc.","Commercial","Earth Observation",507,524,4,2020-10-28,3.000000,
"Dove 4e’-7 (0 Flock 4e'-7 2262)","USA","Planet Labs, Inc.","Commercial","Earth Observation",510,527,4,2020-10-28,3.000000,
"Dove 4e’-8 (0 Flock 4e'-8 2264)","USA","Planet Labs, Inc.","Commercial","Earth Observation",511,524,4,2020-10-28,3.000000,
"Dove 4e’-9 (0 Flock 4e'-9 2441)","USA","Planet Labs, Inc.","Commercial","Earth Observation",510,526,4,2020-10-28,3.000000,
"Dove 4p-1 (0 Flock 4p-1 2277)","USA","Planet Labs, Inc.","Commercial","Earth Observation",498,516,4,2019-11-27,3.000000,
"Dove 4p-10 (0 Flock 4p-10 2233)","USA","Planet Labs, Inc.","Commercial","Earth Observation",499,515,4,2019-11-27,3.000000,
"Dove 4p-11 (0 Flock 4p-11 2231)","USA","Planet Labs, Inc.","Commercial","Earth Observation",499,515,4,2019-11-27,3.000000,
"Dove 4p-3 (0 Flock 4p-3 2304 )","USA","Planet Labs, Inc.","Commercial","Earth Observation",499,515,4,2019-11-27,3.000000,
"Dove 4p-4 (0 Flock 4p-4 2310)","USA","Planet Labs, Inc.","Commercial","Earth Observation",499,515,4,2019-11-27,3.000000,
"Dove 4p-5 (0 Flock 4p-5 2259)","USA","Planet Labs, Inc.","Commercial","Earth Observation",499,513,4,2019-11-27,3.000000,
"Dove 4p-7 (0 Flock 4p-7 222F)","USA","Planet Labs, Inc.","Commercial","Earth Observation",499,513,4,2019-11-27,3.000000,
"Dove 4s-1 (0 Flock 4s-1 2436)","USA","Planet Labs, Inc.","Commercial","Earth Observation",519,535,4,2021-01-24,3.000000,
"Dove 4s-10 (0 Flock 4s-10 2449)","USA","Planet Labs, Inc.","Commercial","Earth Observation",520,535,4,2021-01-24,3.000000,
"Dove 4s-11 (0 Flock 4s-11 2445)","USA","Planet Labs, Inc.","Commercial","Earth Observation",520,535,4,2021-01-24,3.000000,
"Dove 4s-12 (0 Flock 4s-12 241A)","USA","Planet Labs, Inc.","Commercial","Earth Observation",520,535,4,2021-01-24,3.000000,
"Dove 4s-13 (0 Flock 4s-13 2453)","USA","Planet Labs, Inc.","Commercial","Earth Observation",520,535,4,2021-01-24,3.000000,
"Dove 4s-14 (0 Flock 4s-14 241F)","USA","Planet Labs, Inc.","Commercial","Earth Observation",520,535,4,2021-01-24,3.000000,
"Dove 4s-15 (0 Flock 4s-15 242F)","USA","Planet Labs, Inc.","Commercial","Earth Observation",520,535,4,2021-01-24,3.000000,
"Dove 4s-16 (0 Flock 4s-16 2434)","USA","Planet Labs, Inc.","Commercial","Earth Observation",520,535,4,2021-01-24,3.000000,
"Dove 4s-17 (0 Flock 4s-17 2432)","USA","Planet Labs, Inc.","Commercial","Earth Observation",522,535,4,2021-01-24,3.000000,
"Dove 4s-18 (0 Flock 4s-18 2421)","USA","Planet Labs, Inc.","Commercial","Earth Observation",521,535,4,2021-01-24,3.000000,
"Dove 4s-19 (0 Flock 4s-19 242D)","USA","Planet Labs, Inc.","Commercial","Earth Observation",520,535,4,2021-01-24,3.000000,
"Dove 4s-2 (0 Flock 4s-2 2428)","USA","Planet Labs, Inc.","Commercial","Earth Observation",519,535,4,2021-01-24,3.000000,
"Dove 4s-20 (0 Flock 4s-20 2439)","USA","Planet Labs, Inc.","Commercial","Earth Observation",521,535,4,2021-01-24,3.000000,
"Dove 4s-21 (0 Flock 4s-21 245C)","USA","Planet Labs, Inc.","Commercial","Earth Observation",521,535,4,2021-01-24,3.000000,
"Dove 4s-22 (0 Flock 4s-22 421E)","USA","Planet Labs, Inc.","Commercial","Earth Observation",521,535,4,2021-01-24,3.000000,
"Dove 4s-23 (0 Flock 4s-23 245D)","USA","Planet Labs, Inc.","Commercial","Earth Observation",520,536,4,2021-01-24,3.000000,
"Dove 4s-24 (0 Flock 4s-24 2431)","USA","Planet Labs, Inc.","Commercial","Earth Observation",521,535,4,2021-01-24,3.000000,
"Dove 4s-25 (0 Flock 4s-25 2448)","USA","Planet Labs, Inc.","Commercial","Earth Observation",526,535,4,2021-01-24,3.000000,
"Dove 4s-26 (0 Flock 4s-26 245F)","USA","Planet Labs, Inc.","Commercial","Earth Observation",526,535,4,2021-01-24,3.000000,
"Dove 4s-27 (0 Flock 4s-27 2457)","USA","Planet Labs, Inc.","Commercial","Earth Observation",526,537,4,2021-01-24,3.000000,
"Dove 4s-28 (0 Flock 4s-28 2460)","USA","Planet Labs, Inc.","Commercial","Earth Observation",515,534,4,2021-01-24,3.000000,
"Dove 4s-29 (0 Flock 4s-29 2463)","USA","Planet Labs, Inc.","Commercial","Earth Observation",527,535,4,2021-01-24,3.000000,
"Dove 4s-3 (0 Flock 4s-3 2433)","USA","Planet Labs, Inc.","Commercial","Earth Observation",519,535,4,2021-01-24,3.000000,
"Dove 4s-30 (0 Flock 4s-30 2459)","USA","Planet Labs, Inc.","Commercial","Earth Observation",527,535,4,2021-01-24,3.000000,
"Dove 4s-31 (0 Flock 4s-31 241B)","USA","Planet Labs, Inc.","Commercial","Earth Observation",525,537,4,2021-01-24,3.000000,
"Dove 4s-32 (0 Flock 4s-32 245A)","USA","Planet Labs, Inc.","Commercial","Earth Observation",527,535,4,2021-01-24,3.000000,
"Dove 4s-33 (0 Flock 4s-33 2420)","USA","Planet Labs, Inc.","Commercial","Earth Observation",526,535,4,2021-01-24,3.000000,
"Dove 4s-34 (0 Flock 4s-34 2464)","USA","Planet Labs, Inc.","Commercial","Earth Observation",527,535,4,2021-01-24,3.000000,
"Dove 4s-35 (0 Flock 4s-35 242A)","USA","Planet Labs, Inc.","Commercial","Earth Observation",526,535,4,2021-01-24,3.000000,
"Dove 4s-36 (0 Flock 4s-36 241D)","USA","Planet Labs, Inc.","Commercial","Earth Observation",526,535,4,2021-01-24,3.000000,
"Dove 4s-37 (0 Flock 4s-37 2429)","USA","Planet Labs, Inc.","Commercial","Earth Observation",522,535,4,2021-01-24,3.000000,
"Dove 4s-39 (0 Flock 4s-39 2458)","USA","Planet Labs, Inc.","Commercial","Earth Observation",523,535,4,2021-01-24,3.000000,
"Dove 4s-4 (0 Flock 4s-4 242B)","USA","Planet Labs, Inc.","Commercial","Earth Observation",519,535,4,2021-01-24,3.000000,
"Dove 4s-40 (0 Flock 4s-40 2462)","USA","Planet Labs, Inc.","Commercial","Earth Observation",523,535,4,2021-01-24,3.000000,
"Dove 4s-41 (0 Flock 4s-41 2427)","USA","Planet Labs, Inc.","Commercial","Earth Observation",522,535,4,2021-01-24,3.000000,
"Dove 4s-42 (0 Flock 4s-42 2430)","USA","Planet Labs, Inc.","Commercial","Earth Observation",520,538,4,2021-01-24,3.000000,
"Dove 4s-43 (0 Flock 4s-43 2435)","USA","Planet Labs, Inc.","Commercial","Earth Observation",521,533,4,2021-01-24,3.000000,
"Dove 4s-44 (0 Flock 4s-44 2440)","USA","Planet Labs, Inc.","Commercial","Earth Observation",519,537,4,2021-01-24,3.000000,
"Dove 4s-45 (0 Flock 4s-45 2442)","USA","Planet Labs, Inc.","Commercial","Earth Observation",523,541,4,2021-01-24,3.000000,
"Dove 4s-46 (0 Flock 4s-46 2444)","USA","Planet Labs, Inc.","Commercial","Earth Observation",521,533,4,2021-01-24,3.000000,
"Dove 4s-47 (0 Flock 4s-47 2456)","USA","Planet Labs, Inc.","Commercial","Earth Observation",526,537,4,2021-01-24,3.000000,
"Dove 4s-48 (0 Flock 4s-48 2465)","USA","Planet Labs, Inc.","Commercial","Earth Observation",524,536,4,2021-01-24,3.000000,
"Dove 4s-5 (0 Flock 4s-5 2423)","USA","Planet Labs, Inc.","Commercial","Earth Observation",520,535,4,2021-01-24,3.000000,
"Dove 4s-6 (0 Flock 4s-6 2455)","USA","Planet Labs, Inc.","Commercial","Earth Observation",527,535,4,2021-01-24,3.000000,
"Dove 4s-7 (0 Flock 4s-7 2451)","USA","Planet Labs, Inc.","Commercial","Earth Observation",527,535,4,2021-01-24,3.000000,
"Dove 4s-8 (0 Flock 4s-8 2450)","USA","Planet Labs, Inc.","Commercial","Earth Observation",527,535,4,2021-01-24,3.000000,
"Dove 4s-9 (0 Flock 4s-9 2447)","USA","Planet Labs, Inc.","Commercial","Earth Observation",520,535,4,2021-01-24,3.000000,
"Dove 4v-1 (0 Flock 4v-1 227C)","USA","Planet Labs, Inc.","Commercial","Earth Observation",534,535,4,2020-09-02,3.000000,
"Dove 4v-10 (0 Flock 4v-10 2254)","USA","Planet Labs, Inc.","Commercial","Earth Observation",534,536,4,2020-09-02,3.000000,
"Dove 4v-11 (0 Flock 4v-11 2424)","USA","Planet Labs, Inc.","Commercial","Earth Observation",533,535,4,2020-09-02,3.000000,
"Dove 4v-12 (0 Flock 4v-12 2307)","USA","Planet Labs, Inc.","Commercial","Earth Observation",533,535,4,2020-09-02,3.000000,
"Dove 4v-13 (0 Flock 4v-13 241C)","USA","Planet Labs, Inc.","Commercial","Earth Observation",533,535,4,2020-09-02,3.000000,
"Dove 4v-14 (0 Flock 4v-14 227A)","USA","Planet Labs, Inc.","Commercial","Earth Observation",533,535,4,2020-09-02,3.000000,
"Dove 4v-15 (0 Flock 4v15 2402)","USA","Planet Labs, Inc.","Commercial","Earth Observation",515,520,4,2020-09-25,3.000000,
"Dove 4v-16 (0 Flock 4v16 2403)","USA","Planet Labs, Inc.","Commercial","Earth Observation",515,529,4,2020-09-25,3.000000,
"Dove 4v-17 (0 Flock 4v17 2426)","USA","Planet Labs, Inc.","Commercial","Earth Observation",516,521,4,2020-10-02,3.000000,
"Dove 4v-18 (0 Flock 4v18 2413)","USA","Planet Labs, Inc.","Commercial","Earth Observation",514,527,4,2020-10-03,3.000000,
"Dove 4v-19 (0 Flock 4v19 2414)","USA","Planet Labs, Inc.","Commercial","Earth Observation",513,523,4,2020-10-03,3.000000,
"Dove 4v-2 (0 Flock 4v2 2256)","USA","Planet Labs, Inc.","Commercial","Earth Observation",533,535,4,2020-09-02,3.000000,
"Dove 4v-20 (0 Flock 4v20 2406)","USA","Planet Labs, Inc.","Commercial","Earth Observation",515,528,4,2020-10-03,3.000000,
"Dove 4v-22 (0 Flock 4v22 240a)","USA","Planet Labs, Inc.","Commercial","Earth Observation",514,526,4,2020-10-03,3.000000,
"Dove 4v-23 (0 Flock 4v23 2401)","USA","Planet Labs, Inc.","Commercial","Earth Observation",514,523,4,2020-10-03,3.000000,
"Dove 4v-24 (0 Flock 4v24 2405)","USA","Planet Labs, Inc.","Commercial","Earth Observation",516,527,4,2020-10-03,3.000000,
"Dove 4v-25 (0 Flock 4v25 240C)","USA","Planet Labs, Inc.","Commercial","Earth Observation",514,523,4,2020-10-03,3.000000,
"Dove 4v-26 (0 Flock 4v26 2407)","USA","Planet Labs, Inc.","Commercial","Earth Observation",516,526,4,2020-10-03,3.000000,
"Dove 4v-4 (0 Flock 4v-4 2274)","USA","Planet Labs, Inc.","Commercial","Earth Observation",534,535,4,2020-09-02,3.000000,
"Dove 4v-5 (0 Flock 4v-5 240F)","USA","Planet Labs, Inc.","Commercial","Earth Observation",533,535,4,2020-09-02,3.000000,
"Dove 4v-6 (0 Flock 4v-6 225B)","USA","Planet Labs, Inc.","Commercial","Earth Observation",533,535,4,2020-09-02,3.000000,
